country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","26-06-2024 21:00:00",16.5150833,80.5181667,NH3,1,4,4
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","26-06-2024 21:00:00",14.675886,77.593027,NO2,12,13,13
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-06-2024 21:00:00",14.465052,78.824187,PM10,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-06-2024 21:00:00",14.465052,78.824187,SO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-06-2024 21:00:00",14.465052,78.824187,CO,26,74,44
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","26-06-2024 21:00:00",16.9872867,81.7363176,CO,9,84,46
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","26-06-2024 21:00:00",13.67,79.35,PM2.5,7,28,16
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","26-06-2024 21:00:00",13.67,79.35,PM10,17,35,26
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","26-06-2024 21:00:00",13.67,79.35,NO2,14,37,24
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","26-06-2024 21:00:00",13.67,79.35,CO,11,23,19
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","26-06-2024 21:00:00",13.67,79.35,OZONE,15,27,23
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-06-2024 21:00:00",13.615387,79.409230,PM10,40,83,56
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-06-2024 21:00:00",13.615387,79.409230,OZONE,3,26,10
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","26-06-2024 21:00:00",16.486692,80.699436,PM10,49,64,57
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-06-2024 21:00:00",16.509717,80.612222,NH3,3,6,5
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-06-2024 21:00:00",16.509717,80.612222,CO,36,38,36
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-06-2024 21:00:00",16.509717,80.612222,OZONE,33,33,33
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","26-06-2024 21:00:00",16.554731,80.649110,NO2,10,10,10
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","26-06-2024 21:00:00",16.554731,80.649110,NH3,1,2,2
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-06-2024 21:00:00",27.103358,93.679645,PM2.5,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-06-2024 21:00:00",27.103358,93.679645,CO,7,15,10
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","26-06-2024 21:00:00",26.071318,91.87488,NO2,11,32,17
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-06-2024 21:00:00",26.2028636,91.70046436,PM2.5,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-06-2024 21:00:00",26.2028636,91.70046436,NH3,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-06-2024 21:00:00",26.2028636,91.70046436,SO2,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-06-2024 21:00:00",26.2028636,91.70046436,OZONE,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","26-06-2024 21:00:00",26.10887,91.589544,CO,37,74,42
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","26-06-2024 21:00:00",26.187500,91.744194,NO2,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","26-06-2024 21:00:00",26.187500,91.744194,OZONE,17,18,18
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","26-06-2024 21:00:00",26.181742,91.78063,PM2.5,20,86,40
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","26-06-2024 21:00:00",26.181742,91.78063,CO,19,41,27
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","26-06-2024 21:00:00",26.349082,92.68449,OZONE,3,47,17
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","26-06-2024 21:00:00",26.446912,91.439057,NO2,8,24,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA","26-06-2024 21:00:00",24.82827,92.79525,PM2.5,26,39,30
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","26-06-2024 21:00:00",26.987634,94.636574,PM2.5,33,39,37
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-06-2024 21:00:00",26.146529,87.454184,PM2.5,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-06-2024 21:00:00",26.146529,87.454184,NH3,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-06-2024 21:00:00",26.146529,87.454184,OZONE,30,41,33
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-06-2024 21:00:00",25.5626095,84.663264,PM2.5,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-06-2024 21:00:00",25.5626095,84.663264,CO,13,26,21
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","26-06-2024 21:00:00",26.80365,84.51954,NO2,23,31,28
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","26-06-2024 21:00:00",26.80365,84.51954,CO,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","26-06-2024 21:00:00",25.251013,86.989001,SO2,18,20,20
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","26-06-2024 21:00:00",25.251013,86.989001,CO,16,102,76
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","26-06-2024 21:00:00",25.265194,87.012947,NO2,6,8,6
