city,latitude,longitude,station,dominant_pollutant,timestamp,timestamp_timezone,aqi,AQI_meaning,AQI_health_implications,pm2.5,pm10,o3,co,no2,so2,dew,h,p,t,w
Mumbai,19.072830200195,72.882606506348,"Mumbai US Consulate, India (मुंबई अमेरिकी वाणिज्य दूतावास)",pm2.5,2024-06-30 13:00:00,+05:30,68.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",68.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,25.5,83.0,1003.5,28.5,3.3
Delhi,28.63576,77.22445,"New Delhi US Embassy, India (नई दिल्ली अमेरिकी दूतावास)",pm2.5,2024-06-30 13:00:00,+05:30,159.0,Unhealthy,Everyone may begin to experience health effects; members of sensitive groups may experience more serious health effects.,159.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,27.0,63.0,1000.0,35.0,1.5
Bangalore,12.938539,77.5901,"Hombegowda Nagar, Bengaluru, India",pm2.5,2024-06-30 13:00:00,+05:30,53.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",53.0,30.0,6.8,2.9,4.8,2.0,21.0,62.75,712.0,31.125,1.625
Hyderabad,17.384050369263,78.456359863281,"Hyderabad US Consulate, India (हैदराबाद अमेरिकी वाणिज्य दूतावास)",pm2.5,2024-06-30 13:00:00,+05:30,61.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",61.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,23.0,70.0,1009.0,29.0,5.1
Ahmedabad,23.002657,72.591912,"Maninagar, Ahmedabad, India",pm2.5,2024-06-30 13:00:00,+05:30,92.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",92.0,57.0,0.7,2.0,12.7,7.2,26.0,99.99899999999998,1001.0,30.0,8.583333333333334
Chennai,13.1036,80.2909,"Royapuram, Chennai, Chennai, India",pm2.5,2024-06-29 14:00:00,+05:30,66.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",66.0,58.0,2.2,7.0,10.5,1.3,,69.0,740.0,26.2,1.2
Kolkata,22.562629699707,88.363037109375,"Kolkata US Consulate, India (कोलकाता अमेरिकी वाणिज्य दूतावास)",pm2.5,2024-06-30 13:00:00,+05:30,97.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",97.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,28.0,81.5,999.0,31.5,4.3
Pune,18.529603,73.849586,"Shivajinagar, Pune, Pune, India",pm2.5,2021-11-15 06:00:00,+05:30,232.0,Very Unhealthy,Health warnings of emergency conditions. The entire population is more likely to be affected.,232.0,138.0,61.0,51.0,198.0,3.6504132231404958,20.6,92.9,945.9,21.8,0.5
Jaipur,26.9164092,75.7994901,"Police Commissionerate, Jaipur, India",pm2.5,2024-06-30 13:00:00,+05:30,56.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",56.0,67.0,32.9,7.5,4.8,4.0,26.5,62.703333333333326,723.88,34.0,0.9333333333333332
Lucknow,26.766433,80.927299,"B R Ambedkar University, Lucknow, India",pm2.5,2024-06-30 12:00:00,+05:30,77.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",77.0,45.0,6.1,4.0,4.2,5.3,26.0,70.14666666666666,740.6,30.0,1.3766666666666667
Kanpur,26.428282,80.327067,"FTI Kidwai Nagar, Kanpur, India",pm2.5,2024-06-30 13:00:00,+05:30,37.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",37.0,22.0,16.6,4.7,7.9,5.6,26.0,71.345,737.565,32.0,0.5299999999999999
Nagpur,21.152875,79.0517531,"Opp GPO Civil Lines, Nagpur, India",pm2.5,2024-06-30 13:00:00,+05:30,47.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",47.0,42.0,2.7,2.7,6.2,1.9,27.0,76.83000000000001,1004.5,31.0775,1.2349999999999999
Thane,19.192056,72.9585188,"Pimpleshwar Mandir, Dombivali, Thane, India",pm10,2024-06-30 13:00:00,+05:30,43.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",51.30508474576271,43.0,5.6,3.8,7.9,0.6,25.5,57.18,1003.5,31.97,0.66
Bhopal,23.233584,77.400574,"T T Nagar, Bhopal, India",pm2.5,2024-06-30 13:00:00,+05:30,67.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",67.0,51.0,2.6,7.1,10.1,12.0,,73.25,709.75,25.975,0.425
