date,pm2.5,o3,no2,so2,co
2024-07-03,65.0,30.385289431757833,5.830965909090909,0.0,1.826271186440678
2024-07-02,65.0,11.0,3.0,0.0,1.826271186440678
2024-07-01,36.64735698769008,50.0,3.0,0.0,1.826271186440678
2024-06-30,39.0,34.0,3.0,0.0,1.826271186440678
2024-06-29,40.0,18.0,2.0,0.0,1.826271186440678
2024-06-28,34.0,23.0,1.0,0.0,1.826271186440678
2024-06-27,17.0,44.0,3.0,0.0,1.826271186440678
2024-06-26,20.0,28.0,4.0,0.0,1.826271186440678
2024-06-25,24.0,16.0,3.0,0.0,1.826271186440678
2024-06-24,30.0,34.0,4.0,0.0,1.826271186440678
2024-06-23,40.0,28.0,6.0,0.0,1.826271186440678
2024-06-22,25.0,45.0,6.0,0.0,1.826271186440678
2024-06-21,26.0,19.0,2.0,0.0,1.826271186440678
2024-06-20,33.0,25.0,5.830965909090909,0.0,1.826271186440678
2024-06-19,33.0,20.0,5.830965909090909,0.0,1.826271186440678
2024-06-18,36.0,30.385289431757833,5.830965909090909,0.0,1.826271186440678
2024-06-17,41.0,24.0,4.0,0.0,1.826271186440678
2024-06-16,54.0,48.0,5.0,0.0,1.826271186440678
2024-06-15,60.0,52.0,6.0,0.0,1.826271186440678
2024-06-14,63.0,50.0,7.0,0.0,1.826271186440678
2024-06-13,46.0,46.0,6.0,0.0,1.826271186440678
2024-06-12,48.0,40.0,5.0,0.0,1.826271186440678
2024-06-11,42.0,57.0,5.0,0.0,1.826271186440678
2024-06-10,48.0,13.0,0.0,0.0,1.826271186440678
2024-06-09,50.0,35.0,6.0,0.0,1.826271186440678
2024-06-08,51.0,42.0,1.0,0.0,1.826271186440678
2024-06-07,41.0,48.0,7.0,0.0,1.826271186440678
2024-06-06,52.0,51.0,7.0,0.0,1.826271186440678
2024-06-05,62.0,39.0,5.0,0.0,1.826271186440678
2024-06-04,51.0,25.0,0.0,0.0,1.826271186440678
2024-06-03,48.0,21.0,1.0,0.0,1.826271186440678
2024-06-02,46.0,23.0,5.830965909090909,0.0,1.826271186440678
2024-06-01,22.0,34.0,4.0,0.0,1.826271186440678
2024-05-31,33.0,47.0,1.0,0.0,1.826271186440678
2024-05-30,46.0,37.0,5.0,0.0,1.826271186440678
2024-05-29,56.0,32.0,2.0,0.0,1.826271186440678
2024-05-28,105.0,34.0,5.0,0.0,1.826271186440678
2024-05-27,79.0,54.0,5.830965909090909,0.0,1.826271186440678
2024-05-26,72.0,28.0,1.0,0.0,1.826271186440678
2024-05-25,61.0,37.0,2.0,0.0,1.826271186440678
2024-05-24,60.0,27.0,2.0,0.0,1.826271186440678
2024-05-23,64.0,27.0,2.0,0.0,1.826271186440678
2024-05-22,72.0,27.0,3.0,0.0,1.826271186440678
2024-05-21,58.0,30.0,4.0,0.0,1.826271186440678
2024-05-20,50.0,46.0,9.0,0.0,1.826271186440678
2024-05-19,61.0,63.0,5.0,0.0,1.826271186440678
2024-05-18,40.0,86.0,7.0,0.0,1.826271186440678
2024-05-17,46.0,29.0,5.0,0.0,1.826271186440678
2024-05-16,56.0,37.0,7.0,0.0,1.826271186440678
2024-05-15,31.0,93.0,14.0,0.0,1.826271186440678
2024-05-14,45.0,47.0,8.0,0.0,1.826271186440678
2024-05-13,39.0,31.0,8.0,0.0,1.826271186440678
2024-05-12,36.0,25.0,2.0,0.0,1.826271186440678
2024-05-11,39.0,42.0,4.0,0.0,1.826271186440678
2024-05-10,101.0,34.0,3.0,0.0,1.826271186440678
2024-05-09,71.0,39.0,8.0,0.0,1.826271186440678
2024-05-08,64.0,30.0,5.0,0.0,1.826271186440678
2024-05-07,40.0,29.0,3.0,0.0,1.826271186440678
2024-05-06,33.0,24.0,5.0,0.0,1.826271186440678
2024-05-05,33.0,23.0,4.0,0.0,1.826271186440678
2024-05-04,30.0,30.0,5.830965909090909,0.0,1.826271186440678
2024-05-03,25.0,34.0,3.0,0.0,1.826271186440678
2024-05-02,39.0,33.0,5.830965909090909,0.0,1.826271186440678
2024-05-01,35.0,25.0,10.0,0.0,1.826271186440678
2024-04-30,35.0,58.0,10.0,0.0,1.826271186440678
2024-04-29,52.0,40.0,5.0,0.0,1.826271186440678
2024-04-28,52.0,34.0,2.0,0.0,1.826271186440678
2024-04-27,45.0,30.0,2.0,0.0,1.826271186440678
2024-04-26,39.0,25.0,3.0,0.0,1.826271186440678
2024-04-25,33.0,23.0,8.0,0.0,1.826271186440678
2024-04-24,35.0,43.0,9.0,0.0,1.826271186440678
2024-04-23,30.0,36.0,13.0,0.0,1.826271186440678
2024-04-22,17.0,45.0,9.0,0.0,1.826271186440678
2024-04-21,49.0,31.0,0.0,0.0,1.826271186440678
2024-04-20,57.0,24.0,5.0,0.0,1.826271186440678
2024-04-19,54.0,35.0,7.0,0.0,1.826271186440678
2024-04-18,57.0,27.0,4.0,0.0,1.826271186440678
2024-04-17,54.0,30.0,4.0,0.0,1.826271186440678
2024-04-16,37.0,27.0,3.0,0.0,1.826271186440678
2024-04-15,27.0,30.0,4.0,0.0,1.826271186440678
2024-04-14,38.0,40.0,2.0,0.0,1.826271186440678
2024-04-13,34.0,43.0,8.0,0.0,1.826271186440678
2024-04-12,21.0,64.0,10.0,0.0,1.826271186440678
2024-04-11,15.0,40.0,7.0,0.0,1.826271186440678
2024-04-10,52.0,36.0,3.0,0.0,1.826271186440678
2024-04-09,49.0,31.0,4.0,0.0,1.826271186440678
2024-04-08,42.0,26.0,4.0,0.0,1.826271186440678
2024-04-07,29.0,36.0,0.0,0.0,1.826271186440678
2024-04-06,27.0,38.0,4.0,0.0,1.826271186440678
2024-04-05,48.0,47.0,5.0,0.0,1.826271186440678
2024-04-04,24.0,49.0,12.0,0.0,1.826271186440678
2024-04-03,34.0,41.0,1.0,0.0,1.826271186440678
2024-04-02,54.0,37.0,3.0,0.0,1.826271186440678
2024-04-01,36.64735698769008,31.0,1.0,0.0,1.826271186440678
2024-03-31,27.0,33.0,7.0,0.0,1.826271186440678
2024-03-30,31.0,37.0,5.0,0.0,1.826271186440678
2024-03-29,61.0,42.0,7.0,0.0,1.826271186440678
2024-03-28,37.0,33.0,11.0,0.0,1.826271186440678
2024-03-27,29.0,25.0,5.0,0.0,1.826271186440678
2024-03-26,42.0,33.0,3.0,0.0,1.826271186440678
2024-03-25,46.0,30.0,5.0,0.0,1.826271186440678
2024-03-24,55.0,39.0,7.0,0.0,1.826271186440678
2024-03-23,25.0,41.0,5.0,0.0,1.826271186440678
2024-03-22,22.0,32.0,9.0,0.0,1.826271186440678
2024-03-21,29.0,29.0,2.0,0.0,1.826271186440678
2024-03-20,26.0,33.0,7.0,0.0,1.826271186440678
2024-03-19,21.0,35.0,4.0,0.0,1.826271186440678
2024-03-18,34.0,31.0,0.0,0.0,1.826271186440678
2024-03-17,35.0,23.0,1.0,0.0,1.826271186440678
2024-03-16,49.0,20.0,5.0,0.0,1.826271186440678
2024-03-15,56.0,19.0,5.0,0.0,1.826271186440678
2024-03-14,40.0,18.0,7.0,0.0,1.826271186440678
2024-03-13,38.0,23.0,11.0,0.0,1.826271186440678
2024-03-12,39.0,38.0,12.0,0.0,1.826271186440678
2024-03-11,40.0,37.0,13.0,0.0,1.826271186440678
2024-03-10,23.0,36.0,6.0,0.0,1.826271186440678
2024-03-09,46.0,23.0,2.0,0.0,1.826271186440678
2024-03-08,36.0,29.0,4.0,0.0,1.826271186440678
2024-03-07,52.0,33.0,9.0,0.0,1.826271186440678
2024-03-06,47.0,38.0,15.0,0.0,1.826271186440678
2024-03-05,50.0,30.0,7.0,0.0,1.826271186440678
